Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 R,2023 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Durango,NA,4.99711508516,-2.913321431593,2.380279495814,2.84298992966,5.276006638935,-1.798443907473,1.887551602804,4.432751989216,4.757426117142,4.7392200234,2.778383026322,-2.484346097372,1.695983410349,-0.240870921129,1.422827692477,0.144080585549,-7.493107020759,5.942758708645,-0.917531847942,3.075130361306
Guanajuato,NA,2.709053171491,0.481530090573,5.174268082119,1.110776674428,2.578359459854,-4.545581072532,6.681262371896,5.172802277319,4.400347018869,4.347662401364,5.13459736151,4.817371817903,3.760885243827,4.754981049085,0.469083455244,-1.922126033798,-7.244082983763,6.383048433748,2.439291625934,1.78336786537
Guerrero,NA,4.469605759728,2.731742801847,2.727197171759,2.588719493726,0.289134855734,-2.068640197425,3.013762460587,0.361294116033,0.95727820825,1.755230883772,6.83379250819,-1.905028776576,-0.217009545208,-1.548717725868,3.006437442515,-0.219640745455,-8.569742106042,4.712662590265,2.12749829374,1.167290440471
Hidalgo,NA,7.912174924487,-1.199120026382,-1.240810105736,2.892039982685,3.084521075707,-4.229674940727,1.140193093437,2.204735839855,3.619404247674,-0.024015364209,4.788154217122,4.023057442138,1.100988146967,-0.491726131236,0.533582208139,-2.236824419774,-10.830749914256,7.40457671218,10.060355818996,2.68335977713
Jalisco,NA,2.865122771928,2.241912008776,5.110403692379,2.994002487754,2.021107324804,-6.572202233673,5.944097192469,2.834951827307,3.867707255194,1.710030415571,3.538441690719,3.7702131588,3.053197982327,1.892205170391,2.695299654293,0.737883946666,-8.087406603908,5.434906161155,4.970830488763,2.056610147056
México,NA,2.202763542495,3.209418314052,5.776123889399,2.613922218008,0.628481597504,-6.222668868887,7.025835361691,4.479815970496,3.17144271526,0.626236855055,2.255283772075,2.075645686311,2.549395778786,5.215732306263,3.585475808691,-1.522013410147,-7.886089359654,6.295864124813,2.537716029436,2.571873467123
Michoacán de Ocampo,NA,2.55707993003,0.284765700572,5.171829074908,2.926930935175,2.48110082662,-3.991138062166,2.272983933857,3.938701303242,1.826743913379,0.319352669081,5.026113207353,2.349361942667,3.121790916646,3.21010490871,3.827390057004,0.295325069764,-5.418189429893,4.637071157269,3.67951842627,4.159834246986
Morelos,NA,3.007478289156,4.982417520942,-1.394948277092,2.150586712132,-2.467756648841,-3.636143631039,4.361711875449,3.726199393834,2.878605507822,4.046301870987,0.591315082843,2.343433144379,3.24137896727,1.10725692071,-1.498974092882,-1.302348166833,-9.157759360301,6.102213094585,0.06289371205,2.111138079161
Nayarit,NA,14.996202020206,5.294602921774,0.143774438021,-1.566283254448,7.298672879471,-6.011738678196,1.915898666856,2.711340578629,1.191742202172,1.522308364951,0.566070779675,1.051714672182,3.498047610246,1.654421097682,0.41724035768,0.902502067027,-9.262985285752,9.370914157967,4.241404037461,0.102315776369
Nuevo León,NA,3.554862643318,2.497488298157,7.358076099872,4.275061606588,-0.049234554642,-7.874905566204,6.982489023979,3.263903693704,4.047591708063,-0.63883652616,3.438011049392,3.670679042897,0.914085183647,3.749090569482,5.509339487763,0.513275815377,-9.154528550062,7.039471716337,3.364281625611,3.443141893741
Oaxaca,NA,1.926544217832,1.900723114722,1.01216476209,-0.472566902979,2.654313933669,-0.728605412491,-1.47740801125,1.572846186137,0.147602910086,2.917781887769,-0.691497529837,1.604513123088,-0.407596325688,-10.388899080775,6.957200797611,-4.122563574975,-4.478461921624,9.833437303071,7.81304751424,7.64837990866
Puebla,NA,2.674087760316,4.92874842737,4.681254837287,3.737918172664,-0.060307592365,-7.384881188385,7.504171656933,5.38521370383,5.697085905602,-1.613493894576,1.588969850929,2.45046865207,2.071585662049,6.891468900699,1.698333529887,0.86571385218,-10.467906185985,3.606060116131,3.896744802921,3.242085579972
Querétaro,NA,6.489519022363,4.735194110965,5.967675482589,5.668393772534,0.072706153653,-4.68227872198,9.26206997029,8.376282983461,3.323221115396,-0.89470199336,3.850507088138,5.981562912668,0.375342999229,2.545438967474,3.373685527448,-0.369580829214,-9.110749331959,4.43651809438,1.909885750391,4.227567088662
Quintana Roo,NA,8.382805616458,3.398927523951,6.39299558258,8.350821691414,5.079067530865,-8.899200155,4.957699116587,5.156567791146,4.518681177928,3.139251401468,3.742810562368,6.200504271352,6.630602496293,5.116756876657,5.66310451995,-0.154608037516,-22.301848733015,13.598956814745,7.246197455435,13.219662895665
San Luis Potosí,NA,9.896489642588,3.962618707287,2.862315644138,1.388335931956,3.747427960736,-6.182675752813,5.74837313399,5.664194096665,5.163958611912,2.893474787322,2.171420472946,4.345422588777,5.381286444681,6.797893655544,3.248957677734,-4.195805278988,-6.38875584047,3.186412698787,3.211917393737,8.038145692616
Sinaloa,NA,6.707642696243,-0.565155955521,4.382805387414,4.980200904022,4.721526107232,-3.327797659339,1.066703899972,2.43709264307,3.156476495096,-0.228320181402,-0.005362495368,4.185209736672,4.598398355478,2.209204158561,1.737173301809,-1.017898592624,-7.272967143221,4.764369308082,1.767270224775,0.249202230031
Sonora,NA,4.419292435103,4.847020338659,8.314291948285,1.419621701446,1.453818316397,-7.870069800395,3.750366363603,8.896373869264,5.028879960468,4.129130903817,1.758371401318,5.268989034331,4.210799671691,-0.938461838429,-0.319099355363,0.128597098527,-6.623074267627,4.06053258985,3.827866459917,4.729559985844
Tabasco,NA,3.723921122694,7.834140060195,7.925922219816,2.560329218679,4.063467042495,2.55079001707,4.776654648578,3.786252194157,4.588334821111,0.339928920982,-0.386875135885,-6.9944384471,-3.696348678606,-5.720020779428,-6.128333823389,-5.448716163882,4.236563957901,17.354128472093,16.920940427316,2.930347269518
Tamaulipas,NA,4.598581036705,4.805903321188,2.941061605871,2.100023906966,2.29209186503,-8.180891474541,1.975620253739,0.749867705875,4.505145453843,0.515951583156,1.109462746347,3.685662465192,-0.426010846743,-0.114110286371,3.235433612828,2.830231196235,-8.157870171102,4.863990630026,3.263374052153,-0.062717543884
Tlaxcala,NA,4.309126580481,-3.865292785191,4.700994421755,0.856374290992,1.354416129939,-4.624757734303,6.587956158776,3.334332218422,2.449133300667,-0.662172251934,1.854031020344,5.025244498184,1.542533328177,3.41504143498,2.662931047103,0.083843340673,-8.651508059208,6.018573954157,2.390976454496,1.484487664607
Veracruz de Ignacio de la Llave,NA,4.409415895575,1.024486460812,5.461473481164,3.261127097978,-1.076678816355,-1.659598151091,3.258214178944,1.800624895507,3.549318823534,-0.946162922831,0.036545821825,0.750783907211,-2.161536613284,-2.526664570014,-0.274832753812,2.274247906652,-7.792057444989,5.832054749198,1.368265034805,2.487688749668
Yucatán,NA,3.958834211941,4.613038758733,4.749660692953,2.24656974698,1.562346296446,-2.883971165089,3.717752336842,2.200260719376,3.591457353215,0.933184926899,3.385819677513,3.010165596913,4.349497843481,4.013965724704,4.347531028387,0.281759844885,-8.828671726516,7.535085788848,2.911850715283,5.443070130944
Zacatecas,NA,2.807716254337,2.594024875681,6.404229634242,3.49793345384,4.091525019721,4.523286817597,9.513258087799,0.02039891192,2.064171550526,-2.550674541149,7.665858218376,1.611715841144,0.954850329861,1.806289602114,3.545471096522,-3.783761817866,-4.142719020745,5.197995006387,1.541130848326,1.688755815878
Estructura porcentual en valores constantes,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.
Aguascalientes,0.986499719367,0.983975655312,0.980760111565,1.009729546124,1.08188041983,1.068742234651,1.054338136193,1.093688637757,1.108225167288,1.127063023837,1.158505216769,1.247057101121,1.287804742928,1.320798173784,1.325407890049,1.35637497579,1.367668982347,1.391602132824,1.346872013785,1.29603755828,1.332935640192
Baja California,3.815770697204,3.761393966389,3.786743467734,3.894825566395,3.845568114045,3.701717224902,3.439229597428,3.411998208526,3.359864573351,3.372566950372,3.377841579499,3.417056638279,3.476803324165,3.560670186383,3.642484879598,3.63497890414,3.712134532715,3.804693347192,3.82960917366,3.787000966606,3.793143587028
Baja California Sur,0.573744907419,0.597293659572,0.621833704764,0.638573627575,0.679201371225,0.695057358201,0.70197543026,0.689639042692,0.69690696961,0.683734237423,0.668501689769,0.662942367212,0.682486362131,0.700774325806,0.720332489698,0.763620879575,0.738571287511,0.688408423358,0.730894293777,0.733809286857,0.722501884668
Campeche,5.513493467664,5.384015701472,5.207978390217,4.837192130159,4.433354626456,4.053784692769,3.935795323863,3.631650412013,3.421464132384,3.209346476199,3.188159463992,3.080833460822,3.062384193611,2.849762627777,2.51239724934,2.335272174163,2.25051483275,2.267857749335,2.091894159994,1.94723661327,2.027258476505
Coahuila de Zaragoza,4.053910631935,3.982860201684,3.968769223679,4.025187724697,4.049154191046,3.947630458815,3.381826835019,3.854883178761,3.965577067272,4.042125631025,3.979408170159,4.054815773432,3.925555536066,3.874448801449,3.971392724871,3.99581351301,3.958952692234,3.822383616966,3.937592965078,3.855304675277,3.707629824804
Colima,0.593544745697,0.578174239132,0.568597583236,0.578884862897,0.602665787214,0.609028618734,0.618486584075,0.624623437008,0.642675059154,0.629554273767,0.615623975258,0.606700968319,0.616705342648,0.604572985723,0.634187082663,0.63618518013,0.669012782493,0.671244725145,0.63092656106,0.611572207471,0.616194436748
Chiapas,1.757974312174,1.640368123039,1.639228007749,1.618613435259,1.603259565289,1.649347228186,1.735471828383,1.770382822292,1.736879517181,1.718913788525,1.660121798757,1.682763105934,1.591738791353,1.589444792512,1.517283646473,1.462567456382,1.448875885942,1.528053609963,1.510963734127,1.542861385525,1.51645424846
Chihuahua,3.125508807971,3.115482400687,3.128286617946,3.203811206856,3.280480805657,3.408233877252,3.26966145208,3.220845589716,3.18290404572,3.303216793558,3.372303061375,3.382645273085,3.515295844835,3.568388246463,3.590537179345,3.529529875798,3.599663589049,3.664310290695,3.61491152949,3.754344264462,3.750060484198
Ciudad de México,15.882105494186,15.980261706715,15.801339755871,15.798458547013,15.517552551434,15.572937192101,15.707559760977,15.545066872043,15.535799818655,15.470562904976,15.483414978238,15.32400215587,15.320519860552,15.345219262814,15.379398855928,15.281570274495,15.280950362401,14.924626384392,14.937325527429,15.039558145102,15.179833763966
Durango,1.292110264192,1.309972216432,1.245488268695,1.216673065098,1.225792654954,1.278405944864,1.33975549779,1.30039698769,1.312826040564,1.328092833596,1.379281197665,1.382976453239,1.313133420256,1.312146240044,1.284935164219,1.278014090263,1.284901144443,1.296971581281,1.29567857023,1.237853692072,1.235214171459
Guanajuato,3.960641826502,3.92789108572,3.865125407399,3.87874322086,3.841995949582,3.904226598035,3.977126921344,4.041912221672,4.109460671648,4.143078882075,4.286679102809,4.39669985058,4.487245349849,4.574915425241,4.704398226505,4.635058618218,4.563888905393,4.619163525093,4.63373620697,4.576917635217,4.509921375227
Guerrero,1.419286149374,1.431677046425,1.440348652994,1.411792957977,1.418858371827,1.409662984376,1.473246701888,1.445772660239,1.402686980072,1.367523602685,1.379769758834,1.438054868891,1.37354196417,1.346691234094,1.301474715658,1.31467624374,1.316960256101,1.313860521092,1.297310711894,1.27750297981,1.25118375446
Hidalgo,1.852167320422,1.929904437298,1.867301861728,1.759583944781,1.77361843902,1.811240067024,1.851166042195,1.783603985985,1.762235555613,1.763362017317,1.748043433094,1.787000190636,1.809980703066,1.798038266908,1.756323241045,1.731547137953,1.699489200401,1.653560818236,1.674705701891,1.777234092349,1.766703878398
Jalisco,6.772164183889,6.726370248683,6.73484561232,6.754470203534,6.815090897094,6.887855852317,6.867498265714,6.931138924031,6.890327393046,6.911253684157,6.970046346418,7.040402350656,7.113607838659,7.203125448294,7.204573311756,7.25567037355,7.338024521456,7.359373227784,7.316793235823,7.405674844265,7.31686151644
México,8.56722685346,8.45450232268,8.545260193769,8.624439522676,8.669730465413,8.642688878944,8.649383329361,8.818669201262,8.90696931535,8.874132137393,8.854257947986,8.832794314026,8.778897625072,8.845913244334,9.136285935662,9.280839482136,9.175615626289,9.222466414275,9.243979789808,9.13940348657,9.075387874301
Michoacán de Ocampo,2.505820702945,2.481422876036,2.436989503949,2.445518920487,2.465860348697,2.503425219825,2.564982116517,2.499047721783,2.510997849446,2.469133824033,2.456090680327,2.51652865349,2.507879992546,2.541129411877,2.574514413031,2.621355832152,2.639462269168,2.724016483106,2.687762215551,2.686946627149,2.709432752928
Morelos,1.215762204087,1.209212241069,1.243188595016,1.169645149367,1.170478433888,1.130925492817,1.16301833702,1.156264088287,1.159417918139,1.151864803417,1.188346808105,1.166175408258,1.162100242727,1.178872872017,1.170026308144,1.130199455577,1.119877977475,1.110056774209,1.110619187364,1.071552501302,1.059267451071
Nayarit,0.626121193736,0.695227661704,0.716887598438,0.685003775416,0.660549359418,0.702137211601,0.704261589612,0.683762410169,0.678919252833,0.663436909228,0.66784574042,0.655221035145,0.644690469611,0.655621206723,0.65422267041,0.644247266304,0.652624404865,0.646151633311,0.666395148564,0.669803331206,0.649098318795
Nuevo León,7.205090876224,7.204354945127,7.231464150585,7.407623475167,7.567070517014,7.492664206908,7.366354453208,7.507487037424,7.494413215616,7.530192849822,7.41887090821,7.486488545088,7.557076856355,7.493336090444,7.631428429748,7.896151145189,7.967969634615,7.89837233779,7.972180041756,7.945528923904,7.956893998694
Oaxaca,2.024971854912,1.992927192616,1.988779394842,1.916806316105,1.868914621922,1.900592585718,2.01349961284,1.889803548975,1.855618900835,1.794592207057,1.831349534383,1.774262462359,1.755296936875,1.717696356926,1.510965445706,1.584832154277,1.525486882356,1.589997472241,1.646745735117,1.711879115773,1.784019711023
